"날짜","종가","시가","고가","저가","변동 %"
"2011- 08- 01","3.611","4.140","4.204","3.341","-12.44%"
"2011- 07- 01","4.124","4.374","4.416","4.104","-5.78%"
"2011- 06- 01","4.377","4.231","4.451","4.131","3.67%"
"2011- 05- 01","4.221","4.405","4.425","4.202","-4.01%"
"2011- 04- 01","4.398","4.509","4.678","4.387","-2.50%"
"2011- 03- 01","4.510","4.513","4.678","4.318","0.42%"
"2011- 02- 01","4.491","4.576","4.791","4.483","-1.79%"
"2011- 01- 01","4.573","4.349","4.645","4.252","5.47%"
"2010- 12- 01","4.336","4.128","4.625","4.108","5.44%"
"2010- 11- 01","4.112","4.008","4.424","3.861","3.23%"
"2010- 10- 01","3.984","3.690","4.075","3.637","8.06%"
"2010- 09- 01","3.687","3.524","3.960","3.520","4.75%"
"2010- 08- 01","3.520","3.999","4.091","3.462","-11.81%"
"2010- 07- 01","3.991","3.899","4.138","3.826","2.47%"
"2010- 06- 01","3.894","4.216","4.320","3.889","-7.63%"
"2010- 05- 01","4.216","4.527","4.588","3.968","-6.74%"
"2010- 04- 01","4.521","4.721","4.858","4.520","-4.09%"
"2010- 03- 01","4.714","4.566","4.804","4.538","3.40%"
"2010- 02- 01","4.559","4.505","4.774","4.486","1.47%"
"2010- 01- 01","4.493","4.661","4.743","4.476","-3.06%"
"2009- 12- 01","4.635","4.200","4.734","4.190","10.46%"
"2009- 11- 01","4.196","4.248","4.479","4.159","-0.78%"
"2009- 10- 01","4.229","4.059","4.388","3.891","4.47%"
"2009- 09- 01","4.048","4.180","4.392","4.017","-3.18%"
"2009- 08- 01","4.181","4.327","4.718","4.163","-2.81%"
"2009- 07- 01","4.302","4.330","4.657","4.156","-0.67%"
"2009- 06- 01","4.331","4.365","4.842","4.265","-0.02%"
"2009- 05- 01","4.332","4.034","4.663","4.026","7.25%"
"2009- 04- 01","4.039","3.537","4.092","3.487","14.19%"
"2009- 03- 01","3.537","3.707","3.847","3.346","-4.61%"
"2009- 02- 01","3.708","3.605","3.764","3.406","2.77%"
"2009- 01- 01","3.608","2.685","3.635","2.620","34.63%"
"2008- 12- 01","2.680","3.491","3.491","2.514","-22.05%"
"2008- 11- 01","3.438","4.371","4.400","3.435","-21.36%"
"2008- 10- 01","4.372","4.231","4.398","3.882","1.32%"
"2008- 09- 01","4.315","4.425","4.477","3.896","-2.51%"
"2008- 08- 01","4.426","4.580","4.709","4.365","-3.26%"
"2008- 07- 01","4.575","4.518","4.719","4.405","1.15%"
"2008- 06- 01","4.523","4.718","4.814","4.495","-4.28%"
"2008- 05- 01","4.725","4.473","4.808","4.423","5.61%"
"2008- 04- 01","4.474","4.317","4.637","4.277","4.05%"
"2008- 03- 01","4.300","4.424","4.618","4.158","-2.49%"
"2008- 02- 01","4.410","4.341","4.721","4.276","1.99%"
"2008- 01- 01","4.324","4.462","4.489","4.100","-3.09%"
"2007- 12- 01","4.462","4.389","4.688","4.302","1.80%"
"2007- 11- 01","4.383","4.748","4.783","4.234","-7.63%"
"2007- 10- 01","4.745","4.835","4.930","4.625","-1.94%"
"2007- 09- 01","4.839","4.828","4.977","4.619","0.25%"
"2007- 08- 01","4.827","4.903","5.070","4.814","-1.41%"
"2007- 07- 01","4.896","5.129","5.293","4.896","-4.49%"
"2007- 06- 01","5.126","5.013","5.442","4.997","2.29%"
"2007- 05- 01","5.011","4.813","5.052","4.761","4.05%"
"2007- 04- 01","4.816","4.844","4.946","4.794","-0.54%"
"2007- 03- 01","4.842","4.678","4.857","4.593","3.24%"
"2007- 02- 01","4.690","4.916","4.948","4.574","-4.50%"
"2007- 01- 01","4.911","4.815","5.007","4.687","2.08%"
"2006- 12- 01","4.811","4.566","4.846","4.526","5.44%"
"2006- 11- 01","4.563","4.684","4.814","4.559","-3.29%"
"2006- 10- 01","4.718","4.767","4.976","4.712","-0.97%"
"2006- 09- 01","4.764","4.873","4.980","4.683","-2.36%"
"2006- 08- 01","4.879","5.070","5.126","4.878","-3.77%"
"2006- 07- 01","5.070","5.189","5.294","5.052","-2.29%"
"2006- 06- 01","5.189","5.223","5.290","4.997","-0.67%"
"2006- 05- 01","5.224","5.163","5.318","5.074","1.14%"
"2006- 04- 01","5.165","4.893","5.226","4.870","5.54%"
"2006- 03- 01","4.894","4.508","4.923","4.505","8.42%"
"2006- 02- 01","4.514","4.680","4.737","4.461","-3.63%"
"2006- 01- 01","4.684","4.684","4.684","4.684","3.15%"
"2005- 12- 01","4.541","4.541","4.541","4.541","-3.49%"
"2005- 11- 01","4.705","4.705","4.705","4.705","-0.99%"
"2005- 10- 01","4.752","4.752","4.752","4.752","3.96%"
"2005- 09- 01","4.571","4.571","4.571","4.571","7.35%"
"2005- 08- 01","4.258","4.258","4.258","4.258","-4.81%"
"2005- 07- 01","4.473","4.473","4.473","4.473","6.65%"
"2005- 06- 01","4.194","4.194","4.194","4.194","-2.98%"
"2005- 05- 01","4.323","4.323","4.323","4.323","-4.25%"
"2005- 04- 01","4.515","4.515","4.515","4.515","-5.15%"
"2005- 03- 01","4.760","4.760","4.760","4.760","0.83%"
"2005- 02- 01","4.721","4.721","4.721","4.721","2.90%"
"2005- 01- 01","4.588","4.588","4.588","4.588","-4.87%"
"2004- 12- 01","4.823","4.823","4.823","4.823","-2.74%"
"2004- 11- 01","4.959","4.959","4.959","4.959","3.55%"
