"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 05- 20","42,000","41,650","42,100","41,550","13.11M","1.94%"
"2019- 05- 17","41,200","41,950","42,050","40,850","12.29M","-0.84%"
"2019- 05- 16","41,550","42,350","42,400","41,350","13.62M","-2.35%"
"2019- 05- 15","42,550","42,700","43,050","42,550","7.66M","-0.23%"
"2019- 05- 14","42,650","41,300","43,100","41,300","11.54M","0.00%"
"2019- 05- 13","42,650","42,500","43,200","42,350","7.62M","-0.58%"
"2019- 05- 10","42,900","42,600","43,450","42,450","13.51M","1.06%"
"2019- 05- 09","42,450","43,900","44,250","42,450","22.04M","-4.07%"
"2019- 05- 08","44,250","44,300","44,850","44,200","10.04M","-1.34%"
"2019- 05- 07","44,850","45,250","45,300","44,400","11.96M","-0.99%"
"2019- 05- 03","45,300","45,900","46,050","45,300","6.54M","-1.31%"
"2019- 05- 02","45,900","45,500","46,150","45,400","8.62M","0.11%"
"2019- 04- 30","45,850","46,000","46,300","45,350","10.16M","-0.65%"
"2019- 04- 29","46,150","45,150","46,150","45,100","8.48M","2.90%"
"2019- 04- 26","44,850","44,200","45,000","43,800","9.37M","0.45%"
"2019- 04- 25","44,650","44,250","45,000","44,100","9.52M","-0.22%"
"2019- 04- 24","44,750","45,400","45,650","44,150","12.18M","-1.00%"
"2019- 04- 23","45,200","45,050","45,500","45,000","6.88M","-0.33%"
"2019- 04- 22","45,350","45,400","45,900","45,100","5.90M","0.11%"
"2019- 04- 19","45,300","45,750","46,000","45,250","8.35M","-0.66%"
"2019- 04- 18","45,600","47,200","47,250","45,500","10.83M","-3.08%"
"2019- 04- 17","47,050","47,300","47,600","47,000","5.47M","-0.42%"
"2019- 04- 16","47,250","47,400","47,400","46,800","7.62M","0.43%"
"2019- 04- 15","47,050","47,150","47,500","47,000","8.72M","0.43%"
"2019- 04- 12","46,850","46,050","46,900","46,000","7.65M","1.30%"
"2019- 04- 11","46,250","46,700","46,800","46,150","13.62M","-0.96%"
"2019- 04- 10","46,700","46,400","46,700","46,050","10.35M","0.11%"
"2019- 04- 09","46,650","46,700","46,950","46,200","6.88M","0.00%"
"2019- 04- 08","46,650","47,250","47,250","46,150","8.49M","-0.43%"
"2019- 04- 05","46,850","46,950","47,550","46,600","8.53M","-0.21%"
"2019- 04- 04","46,950","46,150","47,100","46,150","11.44M","0.75%"
"2019- 04- 03","46,600","46,750","46,750","45,800","12.00M","1.86%"
"2019- 04- 02","45,750","45,550","46,100","45,350","8.90M","1.55%"
"2019- 04- 01","45,050","45,200","45,450","44,850","6.79M","0.90%"
"2019- 03- 29","44,650","44,500","44,900","44,200","11.00M","-0.45%"
