DATE,SPCS10RSA
2011-04-01,154.2238353
2011-05-01,153.9276639
2011-06-01,153.730244
2011-07-01,153.6766867
2011-08-01,153.3444882
2011-09-01,152.8337174
2011-10-01,151.9960651
2011-11-01,151.1363766
2011-12-01,150.3770847
2012-01-01,149.9854243
2012-02-01,149.6451848
2012-03-01,149.2856164
2012-04-01,150.4914703
2012-05-01,152.0439315
2012-06-01,153.579336
2012-07-01,154.5030595
2012-08-01,155.4436433
2012-09-01,156.3326409
2012-10-01,157.3180572
2012-11-01,158.2551426
2012-12-01,159.6744794
2013-01-01,160.8780377
2013-02-01,162.2653242
2013-03-01,163.8788036
2013-04-01,167.1059655
2013-05-01,169.4601289
2013-06-01,171.4906029
2013-07-01,173.489859
2013-08-01,175.5801856
2013-09-01,177.4474937
2013-10-01,179.0895648
2013-11-01,180.4256501
2013-12-01,181.4110658
2014-01-01,182.5206836
2014-02-01,183.1929967
2014-03-01,184.0091235
2014-04-01,184.6836036
2014-05-01,184.9806041
2014-06-01,185.3479531
2014-07-01,185.4998592
2014-08-01,185.7576059
2014-09-01,186.2197323
2014-10-01,187.1735508
2014-11-01,187.9003197
2014-12-01,188.9962277
2015-01-01,189.8966086
2015-02-01,191.2135353
2015-03-01,191.8004772
2015-04-01,192.5860905
2015-05-01,193.2035241
2015-06-01,193.6899222
2015-07-01,194.2160104
2015-08-01,194.7822912
2015-09-01,195.6162149
2015-10-01,196.5458525
2015-11-01,197.5590236
2015-12-01,198.2390152
2016-01-01,199.0928418
2016-02-01,199.5882484
2016-03-01,200.3219135
2016-04-01,201.1574478
2016-05-01,201.5552814
2016-06-01,202.0670479
2016-07-01,202.7683175
2016-08-01,203.5720758
2016-09-01,204.2353982
2016-10-01,204.9582594
2016-11-01,206.1960596
2016-12-01,207.5061545
2017-01-01,208.9883331
2017-02-01,209.5668387
2017-03-01,210.1389156
2017-04-01,210.6245351
2017-05-01,211.4445007
2017-06-01,212.0532017
2017-07-01,213.5086617
2017-08-01,214.5851423
2017-09-01,216.037362
2017-10-01,217.269623
2017-11-01,218.6784984
2017-12-01,219.8183277
2018-01-01,221.2753881
2018-02-01,222.6553083
2018-03-01,223.1663994
2018-04-01,223.5281904
2018-05-01,224.0383053
2018-06-01,224.6238333
2018-07-01,225.3208314
2018-08-01,225.9954166
2018-09-01,226.6776572
2018-10-01,227.3638103
2018-11-01,227.5721649
2018-12-01,227.769088
2019-01-01,227.7759056
2019-02-01,227.7712575
2019-03-01,227.520233
2019-04-01,227.956488
2019-05-01,228.4537289
2019-06-01,228.6750008
2019-07-01,229.0475751
2019-08-01,229.7236285
2019-09-01,230.398685
2019-10-01,231.388896
2019-11-01,232.2983204
2019-12-01,233.2216362
2020-01-01,233.8465609
2020-02-01,234.4800079
2020-03-01,234.8543645
2020-04-01,234.9236031
2020-05-01,234.9009907
2020-06-01,235.0002073
2020-07-01,237.3364554
2020-08-01,241.326418
2020-09-01,245.320774
2020-10-01,249.5593015
2020-11-01,253.2354969
2020-12-01,256.5402171
2021-01-01,259.8094327
2021-02-01,262.4138596
2021-03-01,265.534551
2021-04-01,269.2253982
2021-05-01,274.0399997
2021-06-01,278.6883894
2021-07-01,282.8489488
2021-08-01,286.4065799
2021-09-01,289.4322971
2021-10-01,292.6808147
2021-11-01,295.9921044
2021-12-01,300.0996863
2022-01-01,305.1489796
2022-02-01,311.6076808
2022-03-01,317.3535292
2022-04-01,322.0411418
2022-05-01,326.1757501
2022-06-01,326.9584568
2022-07-01,324.7216101
2022-08-01,321.0747437
2022-09-01,317.3887689
2022-10-01,316.1371686
2022-11-01,314.7636167
2022-12-01,313.3414844
2023-01-01,312.8885104
2023-02-01,313.0507147
2023-03-01,314.8937801
2023-04-01,318.1386258
2023-05-01,320.87
2023-06-01,325.6077
